total_nodes_misplaced,solution_length_misplaced,total_nodes_height_diff,solution_length_height_diff,total_nodes_h_max,solution_length_h_max,all_solutions_optimal,shared_states_misplaced_height_diff,unique_to_misplaced,unique_to_height_diff,avg_order_diff_misplaced_height_diff,max_order_diff_misplaced_height_diff,shared_states_misplaced_h_max,unique_to_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,shared_states_height_diff_h_max,avg_order_diff_height_diff_h_max,max_order_diff_height_diff_h_max
143,7,645,7,475,7,True,141,3,225,0.3509346240874169,0.7404645262881638,138,66,0.28258091938163565,0.8536875259998812,394,0.1573459886344543,0.6026941321382708
46,5,190,5,108,5,True,46,9,91,0.33448355187485623,0.6645502645502646,37,12,0.23985855013892396,0.5171339563862928,94,0.16508746624077703,0.5309301290609701
25,5,284,5,142,5,True,25,0,153,0.34734982332155473,0.7838633686690224,25,11,0.31957446808510637,0.6134751773049646,130,0.18909046746051483,0.6357917951031251
25,4,43,4,29,4,True,25,7,20,0.18238095238095237,0.5952380952380953,18,6,0.04398148148148148,0.125,23,0.12681159420289853,0.5
17,4,75,4,60,4,True,17,0,38,0.34737678855325915,0.7297297297297297,17,23,0.19491525423728814,0.5233050847457628,37,0.25625533916876103,0.6280348144754925
208,8,830,8,1049,8,True,207,4,165,0.26352680511508686,0.8431204582670466,203,364,0.3304354047985095,0.8554366264704798,653,0.20184995879653186,0.786419534249855
25,4,99,4,43,4,True,25,4,58,0.28448979591836737,0.5850340136054422,21,4,0.1320861678004535,0.42857142857142855,39,0.2571079713936857,0.6394557823129252
113,7,826,7,690,7,True,112,2,232,0.36300914115646254,0.8972943722943723,110,116,0.34816245075679036,0.8395967240306863,560,0.20219919074636056,0.6854677398073624
101,6,265,6,368,6,True,85,2,42,0.25441176470588234,0.7833333333333333,98,138,0.27249402213201357,0.7084196185286104,219,0.18811067074009855,0.682478738337049
23,4,52,4,47,4,True,23,4,17,0.2055723475160815,0.427807486631016,19,12,0.1655918452257125,0.38735177865612647,35,0.15107782243332116,0.571611253196931
45,6,354,6,356,6,True,45,0,129,0.3188256502704095,0.772856039144991,45,127,0.34614312135438896,0.7622279129321383,223,0.22604410875624817,0.7054462753860272
94,7,849,7,474,7,True,94,5,381,0.36943305037921464,0.8688248123351593,89,27,0.2890398289051323,0.759939984996249,444,0.19607440895560685,0.6541071642267342
25,4,110,4,48,4,True,25,3,67,0.33559633027522934,0.6781345565749235,22,6,0.15159574468085107,0.5372340425531915,42,0.22884656497773812,0.740581690415772
31,5,203,5,142,5,True,31,0,93,0.26797615245395506,0.5514851485148514,31,32,0.23978494623655913,0.5673758865248226,110,0.138338408308916,0.4837441190927603
37,5,120,5,107,5,True,37,8,34,0.1995356701239054,0.5172735760971054,29,21,0.2388852743439601,0.6624737945492662,86,0.20282189224965985,0.6823370857777074
13,3,43,3,29,3,True,13,0,18,0.163003663003663,0.35714285714285715,13,4,0.14285714285714285,0.3095238095238095,25,0.11333333333333333,0.2619047619047619
144,7,784,7,788,7,True,143,0,131,0.3023071383331813,0.7961578651233824,143,159,0.3380867628475167,0.7724829173367929,614,0.15929557760980745,0.8091496394962198
